"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"JASMINE8",100,96,98,81,32,100,99,96,88,54,100,100,94,91,66,100,100,98,87,71,100,100,98,89,67,100,100,100,96,85,100,100,100,97,92,100,100,100,100,92,100,100,100,100,92,100,100,100,100,92
"AUCell8",100,98,97,94,47,100,99,96,94,73,100,100,95,90,83,100,100,96,88,77,100,100,100,92,80,100,100,99,88,86,100,100,100,92,88,100,100,100,98,80,100,100,100,98,90,100,100,100,100,89
"UCell8",56,44,57,50,29,83,65,56,62,45,95,85,68,56,53,98,90,63,61,59,100,87,73,61,57,100,97,70,41,72,100,100,74,52,89,100,100,82,41,94,100,100,89,46,97,100,100,91,41,99
"scPS8",1,7,14,11,24,0,6,14,26,36,0,5,14,39,49,2,5,29,49,53,1,9,17,38,56,0,8,29,64,80,0,4,30,65,93,0,8,40,87,98,0,7,42,85,100,0,9,39,93,100
"SCSE8",100,99,96,85,31,100,99,99,88,50,100,100,98,90,65,100,100,99,81,67,100,100,100,88,63,100,100,100,94,77,100,100,100,99,88,100,100,100,100,86,100,100,100,100,93,100,100,100,100,89
"AddModuleScore8",100,100,98,93,42,100,99,97,94,48,100,100,92,91,54,100,100,94,86,56,100,100,98,90,62,100,100,98,84,69,100,100,91,80,85,100,100,90,73,80,100,100,88,76,82,100,100,87,75,84
"ssGSEA9",3,10,40,89,89,1,12,31,77,83,1,10,45,77,84,0,16,47,77,82,1,14,46,79,86,0,7,38,66,79,0,4,32,66,82,0,0,21,64,85,0,0,21,58,79,0,0,17,56,79
"JASMINE9",98,98,99,77,29,100,98,97,94,50,100,99,91,96,65,100,100,96,91,71,100,100,100,95,63,100,100,99,94,79,100,100,100,95,88,100,100,100,100,90,100,100,100,100,96,100,100,100,100,95
"AUCell9",100,99,100,93,53,100,97,97,93,74,100,100,88,90,75,100,100,95,96,78,100,100,98,92,87,100,100,99,89,88,100,100,100,94,90,100,100,100,96,82,100,100,100,100,83,100,100,100,98,82
"UCell9",18,22,31,49,26,35,27,32,28,42,57,41,36,42,49,65,46,44,38,53,73,60,34,40,52,91,71,36,42,73,100,74,25,57,91,100,83,27,52,94,100,93,31,43,99,100,98,27,56,100
"scPS9",10,7,14,22,22,4,13,14,28,34,11,19,36,44,57,16,29,38,49,56,13,19,39,52,65,23,43,54,80,88,29,53,77,95,100,25,60,78,98,99,33,72,86,99,100,54,76,84,100,100
"SCSE9",100,100,100,83,29,100,100,98,93,48,100,100,98,87,66,100,100,98,89,68,100,100,100,95,60,100,100,100,94,74,100,100,100,99,83,100,100,100,100,81,100,100,100,100,91,100,100,100,100,94
"AddModuleScore9",100,100,100,95,46,100,100,97,95,52,100,100,91,89,54,100,100,97,89,57,100,100,97,94,51,100,100,97,82,71,100,99,83,69,80,100,100,73,75,78,100,97,61,74,85,100,95,59,70,78
